pizza_id,order_id,order_date,order_time,day_of_week,is_weekend,month_name,quarter,time_of_day,pizza_name_id,pizza_name,pizza_category,pizza_size,pizza_ingredients,is_vegetarian,quantity,order_size,unit_price,total_price,revenue_category
1,1,2015-01-01,11:38:36,Thursday,Weekday,Jan,Q1,Morning,hawaiian_m,The Hawaiian Pizza,Classic,M,"Sliced Ham, Pineapple, Mozzarella Cheese",Non-Veg,1,Small,13.25,13.25,Standard
2,2,2015-01-01,11:57:40,Thursday,Weekday,Jan,Q1,Morning,classic_dlx_m,The Classic Deluxe Pizza,Classic,M,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",Non-Veg,1,Small,16.0,16.0,Standard
3,2,2015-01-01,11:57:40,Thursday,Weekday,Jan,Q1,Morning,five_cheese_l,The Five Cheese Pizza,Veggie,L,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",Veg,1,Small,18.5,18.5,Standard
4,2,2015-01-01,11:57:40,Thursday,Weekday,Jan,Q1,Morning,ital_supr_l,The Italian Supreme Pizza,Supreme,L,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",Non-Veg,1,Small,20.75,20.75,Premium
5,2,2015-01-01,11:57:40,Thursday,Weekday,Jan,Q1,Morning,mexicana_m,The Mexicana Pizza,Veggie,M,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",Veg,1,Small,16.0,16.0,Standard
6,2,2015-01-01,11:57:40,Thursday,Weekday,Jan,Q1,Morning,thai_ckn_l,The Thai Chicken Pizza,Chicken,L,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",Non-Veg,1,Small,20.75,20.75,Premium
7,3,2015-01-01,12:12:28,Thursday,Weekday,Jan,Q1,Lunch,ital_supr_m,The Italian Supreme Pizza,Supreme,M,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",Non-Veg,1,Small,16.5,16.5,Standard
8,3,2015-01-01,12:12:28,Thursday,Weekday,Jan,Q1,Lunch,prsc_argla_l,The Prosciutto And Arugula Pizza,Supreme,L,"Prosciutto Di San Daniele, Arugula, Mozzarella Cheese",Veg,1,Small,20.75,20.75,Premium
9,4,2015-01-01,12:16:31,Thursday,Weekday,Jan,Q1,Lunch,ital_supr_m,The Italian Supreme Pizza,Supreme,M,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",Non-Veg,1,Small,16.5,16.5,Standard
10,5,2015-01-01,12:21:30,Thursday,Weekday,Jan,Q1,Lunch,ital_supr_m,The Italian Supreme Pizza,Supreme,M,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",Non-Veg,1,Small,16.5,16.5,Standard
11,6,2015-01-01,12:29:36,Thursday,Weekday,Jan,Q1,Lunch,bbq_ckn_s,The Barbecue Chicken Pizza,Chicken,S,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",Non-Veg,1,Small,12.75,12.75,Standard
12,6,2015-01-01,12:29:36,Thursday,Weekday,Jan,Q1,Lunch,the_greek_s,The Greek Pizza,Classic,S,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",Non-Veg,1,Small,12.0,12.0,Standard
13,7,2015-01-01,12:50:37,Thursday,Weekday,Jan,Q1,Lunch,spinach_supr_s,The Spinach Supreme Pizza,Supreme,S,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",Non-Veg,1,Small,12.5,12.5,Standard
14,8,2015-01-01,12:51:37,Thursday,Weekday,Jan,Q1,Lunch,spinach_supr_s,The Spinach Supreme Pizza,Supreme,S,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",Non-Veg,1,Small,12.5,12.5,Standard
15,9,2015-01-01,12:52:01,Thursday,Weekday,Jan,Q1,Lunch,classic_dlx_s,The Classic Deluxe Pizza,Classic,S,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",Non-Veg,1,Small,12.0,12.0,Standard
